Rank,Place,State,Population,Year
1,New York, N.Y.,3437202,1900
2,Chicago, Ill.,1698575,1900
3,Philadelphia, Pa.,1293697,1900
4,St. Louis, Mo.,575238,1900
5,Boston, Mass.,560892,1900
6,Baltimore, Md.,508957,1900
7,Cleveland, Ohio,381768,1900
8,Buffalo, N.Y.,352387,1900
9,San Francisco, Calif.,342782,1900
10,Cincinnati, Ohio,325902,1900
1,New York, N.Y.,5620048,1920
2,Chicago, Ill.,2701705,1920
3,Philadelphia, Pa.,1823779,1920
4,Detroit, Mich.,993078,1920
5,Cleveland, Ohio,796841,1920
6,St. Louis, Mo.,772897,1920
7,Boston, Mass.,748060,1920
8,Baltimore, Md.,733826,1920
9,Pittsburgh, Pa.,588343,1920
10,Los Angeles, Calif.,576673,1920
1,New York, N.Y.,7454995,1940
2,Chicago, Ill.,3396808,1940
3,Philadelphia, Pa.,1931334,1940
4,Detroit, Mich.,1623452,1940
5,Los Angeles, Calif.,1504277,1940
6,Cleveland, Ohio,878336,1940
7,Baltimore, Md.,859100,1940
8,St. Louis, Mo.,816048,1940
9,Boston, Mass.,770816,1940
10,Pittsburgh, Pa.,671659,1940
1,New York, N.Y.,7781984,1960
2,Chicago, Ill.,3550404,1960
3,Los Angeles, Calif.,2479015,1960
4,Philadelphia, Pa.,2002512,1960
5,Detroit, Mich.,1670144,1960
6,Baltimore, Md.,939024,1960
7,Houston, Tex.,938219,1960
8,Cleveland, Ohio,876050,1960
9,Washington, DC,763956,1960
10,St. Louis, Mo.,750026,1960
1,New York, N.Y.,7071639,1980
2,Chicago, Ill.,3005072,1980
3,Los Angeles, Calif.,2966850,1980
4,Philadelphia, Pa.,1688210,1980
5,Houston, Tex,1595138,1980
6,Detroit, Mich.,1203339,1980
7,Dallas, Tex.,904078,1980
8,San Diego, Calif.,875538,1980
9,Phoenix, Ariz.,789704,1980
10,Baltimore, Md.,786775,1980
1,New York, N.Y.,8175133,2010
2,Los Angeles, Calif.,3792621,2010
3,Chicago, Ill.,2695598,2010
4,Houston, Tex.,2099451,2010
5,Philadelphia, Pa.,1526006,2010
6,Phoenix, Ariz.,1445632,2010
7,San Antonio, Tex.,1327407,2010
8,San Diego, Calif.,1307402,2010
9,Dallas, Tex.,1197816,2010
10,San Jose , Calif.,945942,2010
